20110103T,68.0,68.0,68.0,68.0,0
20110104T,68.0,68.0,68.0,68.0,0
20110105T,67.0,67.0,67.0,67.0,0
20110106T,64.0,64.0,64.0,64.0,0
20110107T,63.0,63.0,63.0,63.0,0
20110110T,58.0,58.0,58.0,58.0,0
20110111T,58.0,58.0,58.0,58.0,0
20110112T,58.0,58.0,58.0,58.0,0
20110113T,58.0,58.0,58.0,58.0,0
20110114T,60.0,60.0,60.0,60.0,0
20110118T,56.0,56.0,56.0,56.0,0
20110119T,55.0,55.0,55.0,55.0,0
20110120T,54.0,54.0,54.0,54.0,0
20110121T,47.0,47.0,47.0,47.0,0
20110124T,45.0,45.0,45.0,45.0,0
20110125T,43.0,43.0,43.0,43.0,0
20110126T,43.0,43.0,43.0,43.0,0
20110127T,43.0,43.0,43.0,43.0,0
20110128T,43.0,43.0,43.0,43.0,0
20110131T,41.0,41.0,41.0,41.0,0
20110201T,41.0,41.0,41.0,41.0,0
20110202T,46.0,46.0,46.0,46.0,0
20110203T,47.0,47.0,47.0,47.0,0
20110204T,49.0,49.0,49.0,49.0,0
20110207T,56.0,56.0,56.0,56.0,0
20110208T,56.0,56.0,56.0,56.0,0
20110209T,56.0,56.0,56.0,56.0,0
20110210T,56.0,56.0,56.0,56.0,0
20110211T,56.0,56.0,56.0,56.0,0
20110214T,61.0,61.0,61.0,61.0,0
20110215T,61.0,61.0,61.0,61.0,0
20110216T,61.0,61.0,61.0,61.0,0
20110217T,61.0,61.0,61.0,61.0,0
20110218T,56.0,56.0,56.0,56.0,0
20110222T,42.0,42.0,42.0,42.0,0
20110223T,42.0,42.0,42.0,42.0,0
20110224T,42.0,42.0,42.0,42.0,0
20110225T,42.0,42.0,42.0,42.0,0
20110228T,43.0,43.0,43.0,43.0,0
20110301T,43.0,43.0,43.0,43.0,0
20110302T,42.0,42.0,42.0,42.0,0
20110303T,41.0,41.0,41.0,41.0,0
20110304T,39.0,39.0,39.0,39.0,0
20110307T,35.0,35.0,35.0,35.0,0
20110308T,27.0,27.0,27.0,27.0,0
20110309T,26.0,26.0,26.0,26.0,0
20110310T,26.0,26.0,26.0,26.0,0
20110311T,26.0,26.0,26.0,26.0,0
20110314T,13.0,13.0,13.0,13.0,0
20110315T,13.0,13.0,13.0,13.0,0
20110316T,11.0,11.0,11.0,11.0,0
20110317T,9.0,9.0,9.0,9.0,0
20110318T,9.0,9.0,9.0,9.0,0
20110321T,14.0,14.0,14.0,14.0,0
20110322T,15.0,15.0,15.0,15.0,0
20110323T,16.0,16.0,16.0,16.0,0
20110324T,16.0,16.0,16.0,16.0,0
20110325T,19.0,19.0,19.0,19.0,0
20110328T,23.0,23.0,23.0,23.0,0
20110329T,23.0,23.0,23.0,23.0,0
20110330T,24.0,24.0,24.0,24.0,0
20110331T,24.0,24.0,24.0,24.0,0
20110401T,27.0,27.0,27.0,27.0,0
20110404T,31.0,31.0,31.0,31.0,0
20110405T,35.0,35.0,35.0,35.0,0
20110406T,37.0,37.0,37.0,37.0,0
20110407T,37.0,37.0,37.0,37.0,0
20110408T,37.0,37.0,37.0,37.0,0
20110411T,34.0,34.0,34.0,34.0,0
20110412T,33.0,33.0,33.0,33.0,0
20110413T,33.0,33.0,33.0,33.0,0
20110414T,30.0,30.0,30.0,30.0,0
20110415T,28.0,28.0,28.0,28.0,0
